factor_name,category,selected_portfolio,annual_return,annual_return_long_only,annual_return_long_short,total_return,volatility,sharpe,max_drawdown,max_drawdown_duration,ic_mean,ic_ir,n_obs,reference
turnover_mean_20,Liquidity,long_only,0.4007205864158261,0.4007205864158261,0.08522981167909904,0.30313819258858166,0.17463084246475696,2.3 ,0.12545271283691256,38,0.05494514686543917,0.5862899123012953,198,"Datar, Naik and Radcliffe (1998)"
medium_momentum_60_5,Momentum,long_only,0.3565255128192484,0.3565255128192484,-0.013158297,0.20775603741294302,0.16351361487280724,2.2 ,0.07837649568643941,27,-0.027913529,-0.329149094,156,Jegadeesh and Titman (1993)
bp,Value,long_only,0.341950532742876,0.341950532742876,0.014702648236966986,0.3140517557645943,0.17633350470538456,1.9 ,0.13400186825503688,66,0.03037633470343392,0.3826911276873382,234,"Rosenberg, Reid and Lanstein (1985)"
ep_ttm,Value,long_only,0.3293703044456,0.3293703044456,0.019524107792911582,0.30260913058464545,0.1771548950460159,1.9 ,0.1349402141527824,73,0.022884322735112476,0.2422735398594246,234,Basu (1977) earnings yield effect
amihud_illiquidity_20,Liquidity,long_only,0.31503093407565963,0.31503093407565963,0.026251893705144358,0.24007996206292725,0.1733278271679649,1.8 ,0.14242818426911572,66,0.017726163734876545,0.2543013663061512,198,Amihud (2002)
price_volume_corr_20,Price-Volume,long_only,0.31579577796867775,0.31579577796867775,0.018589707111139386,0.24064662409640913,0.1745078659175891,1.8 ,0.13452791349012364,55,0.03962550254429695,0.7365526112233886,198,Price-volume relation literature
close_location_reversal_10,Microstructure,long_only,0.3622529324870116,0.3622529324870116,0.02519443807550359,0.3034010685154156,0.20415215384773633,1.8 ,0.1576168812598853,67,0.013186590774300361,0.17271564464543143,216,Close location value / reversal literature
short_reversal_5d,Reversal,long_only,0.3428257075145773,0.3428257075145773,0.0086507855816631,0.28745223629201955,0.20081014029455468,1.7 ,0.1682544656859456,70,0.04691018196621021,0.5885750114032474,216,De Bondt and Thaler (1985)
vol_adj_momentum_20,Momentum,long_only,0.28772792195275043,0.28772792195275043,0.0017988427402977347,0.2198049017589463,0.18589428711543182,1.5 ,0.15169501695746002,76,-0.039047823,-0.510626944,198,Risk-adjusted momentum literature
small_cap,Size,long_only,0.298354341927199,0.298354341927199,0.008212801641220624,0.2743646557199271,0.19281543986939748,1.5 ,0.1541638379992661,70,-0.002441172,-0.042128988,234,"Banz (1981), Fama-French size effect"
overnight_gap_reversal_5,Microstructure,long_only,0.28857582506238244,0.28857582506238244,-0.039366417,0.24273915609442676,0.19993539147434872,1.4 ,0.17171637534761708,71,-0.015709011,-0.309070188,216,Overnight return reversal literature
long_momentum_120_20,Momentum,long_only,0.23776061893582767,0.23776061893582767,-0.028890063,0.0828166994444619,0.17456019643174542,1.4 ,0.07654553034834165,27,-0.01291844,-0.161852874,94,Jegadeesh and Titman (1993)
turnover_shock_5_20,Liquidity,long_only,0.22272583317755723,0.22272583317755723,-0.031578085,0.17115860014956263,0.1852242173802808,1.2 ,0.1471875974780227,85,-0.040107341,-0.616304601,198,Attention-driven trading literature
